word,definition
actinal,(of radiate organisms) located on the surface or end on which the mouth is situated
actinia,a genus of sea anemone common in rock pools
actinic,relating to or exhibiting actinism
actinon,any of a series of radioactive elements with atomic numbers 89 through 103
actress,a female actor
actuary,someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)
aculeus,a stiff sharp-pointed plant process
acutely,in an acute manner
acyclic,not cyclic; especially having parts arranged in spirals rather than whorls
adamant,very hard native crystalline carbon valued as a gem
adapter,a musician who adapts a composition for particular voices or instruments or for another style of performance
adaptor,device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible
adaxial,nearest to or facing toward the axis of an organ or organism
addable,capable of being added or added to
addenda,textual matter that is added onto a publication; usually at the end
addible,capable of being added or added to
address,(computer science) the code that identifies where a piece of information is stored
addrest,speak to
adducer,a discussant who offers an example or a reason or a proof
adelges,type genus of the Adelgidae: plant lice
adenine,(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
adenoid,a collection of lymphatic tissue in the throat behind the uvula (on the posterior wall and roof of the nasopharynx)
adenoma,a benign epithelial tumor of glandular origin
adermin,a B vitamin that is essential for metabolism of amino acids and starch
adipose,composed of animal fat
adjourn,close at the end of a session
adjudge,declare to be
adjunct,something added to another thing but not an essential part of it
adlumia,one species: climbing fumitory
admiral,the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral
admired,feel admiration for
admirer,a person who backs a politician or a team etc.
adnexal,of or pertaining to adnexa
adopted,"choose and follow; as of theories, ideas, policies, strategies or plans"
adoptee,someone (such as a child) who has been adopted
adopter,a person who adopts a child of other parents as his or her own child
adrenal,either of a pair of complex endocrine glands situated near the kidney
adulate,flatter in an obsequious manner
adulter,(of animals) fully developed
advance,a movement forward
adverse,contrary to your interests or welfare
advised,give advice to
advisee,someone who receives advice
adviser,an expert who gives advice
advisor,an expert who gives advice
aeolian,a member of one of four linguistic divisions of the prehistoric Greeks
aeonian,of or relating to a geological eon (longer than an era)
aerator,an apparatus for exposing something to the air (as sewage)
aerides,any orchid of the genus Aerides
aerobic,depending on free oxygen or air
aerosol,a cloud of solid or liquid particles in a gas
aethusa,fool's parsley
afeared,a pronunciation of afraid
affable,diffusing warmth and friendliness
affably,in an affable manner
affiant,a person who makes an affidavit
affinal,(anthropology) related by marriage
affined,closely related; - Wallace Stevens
affixal,of or pertaining to a linguistic affix
afflict,cause great unhappiness for; distress
affront,a deliberately offensive act or something producing the effect of deliberate disrespect
afghani,the basic unit of money in Afghanistan
african,a native or inhabitant of Africa
against,
agamete,an asexual reproductive cell
agamous,(of reproduction) not involving the fusion of male and female gametes in reproduction
agathis,kauri pine
ageless,continuing forever or indefinitely
agelong,lasting through all time
agendum,a list of matters to be taken up (as at a meeting)
aggrade,build up to a level by depositing sediment
aggress,take the initiative and go on the offensive
aggroup,form a group or group together
agilely,in a nimble or agile manner; with quickness and lightness and ease; - Charles Dickens
agility,the gracefulness of a person or animal that is quick and nimble
agitate,try to stir up public opinion
agnatha,superclass of eel-shaped chordates lacking jaws and pelvic fins: lampreys; hagfishes; some extinct forms
agnatic,related on the father's side
agnomen,an additional name or an epithet appended to a name (as in `Ferdinand the Great')
agnosia,inability to recognize objects by use of the senses
agonist,the principal character in a work of fiction
agonize,cause to agonize
agrapha,sayings of Jesus not recorded in the canonical Gospels
aground,stuck in a place where a ship can no longer float
ahriman,the spirit of evil in Zoroastrianism; arch rival of Ormazd
aileron,an airfoil that controls lateral motion
ailment,an often persistent bodily disorder or disease; a cause for complaining
ailurus,lesser pandas
aimless,aimlessly drifting
aircrew,the crew of an aircraft
airdock,a large structure at an airport where aircraft can be stored and maintained
airdrop,delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft
airfoil,a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight
airhead,a flighty scatterbrained simpleton
airless,lacking fresh air
airlift,transportation of people or goods by air (especially when other means of access are unavailable)
airlike,resembling air or having the form of air
airmail,letters and packages that are transported by aircraft
airport,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
airship,a steerable self-propelled aircraft
airsick,experiencing motion sickness
alabama,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
aladdin,in the Arabian Nights a boy who acquires a magic lamp from which he can summon a genie
alanine,a crystalline amino acid that occurs in many proteins
alarmed,fill with apprehension or alarm; cause to be unpleasantly surprised
alaskan,a native or resident of Alaska
albania,a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula
alberta,one of the three prairie provinces in western Canada; rich in oil and natural gas and minerals
albinal,of or pertaining to or affected by albinism
albinic,of or pertaining to or affected by albinism
albitic,of or related to albite feldspar
albumen,a simple water-soluble protein found in many animal tissues and liquids
albumin,a simple water-soluble protein found in many animal tissues and liquids
alcalde,a mayor or chief magistrate of a Spanish town
alcazar,any of various Spanish fortresses or palaces built by the Moors
alchemy,the way two individuals relate to each other
alcidae,web-footed diving seabirds of northern seas: auks; puffins; guillemots; murres; etc.
alcohol,a liquor or brew containing alcohol as the active agent
alcyone,(Greek mythology) a woman who was turned into a kingfisher
alecost,tansy-scented Eurasian perennial herb with buttonlike yellow flowers; used as potherb or salad green and sometimes for potpourri or tea or flavoring; sometimes placed in genus Chrysanthemum
alehoof,trailing European aromatic plant of the mint family having rounded leaves and small purplish flowers often grown in hanging baskets; naturalized in North America; sometimes placed in genus Nepeta
alembic,an obsolete kind of container used for distillation; two retorts connected by a tube
alertly,in mentally perceptive and responsive way
aletris,small genus of bitter-rooted herbs of eastern North America and Asia; sometimes placed in family Melanthiaceae
alewife,flesh of shad-like fish abundant along the Atlantic coast or in coastal streams
alfalfa,important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
algebra,the mathematics of generalized arithmetical operations
alidade,surveying instrument consisting of the upper movable part of a theodolite including the telescope and its attachments
alienee,someone to whom the title of property is transferred
aliener,not contained in or deriving from the essential nature of something
alienor,someone from whom the title of property is transferred
aliform,having or resembling wings
aliment,a source of materials to nourish the body
alimony,court-ordered support paid by one spouse to another after they are separated
aliquot,an integer that is an exact divisor of some quantity
alkalic,relating to or containing an alkali; having a pH greater than 7
alkanet,perennial or biennial herb cultivated for its delicate usually blue flowers
alkylic,of or related to an alkyl
allayer,"a person who reduces the intensity (e.g., of fears) and calms and pacifies"
allegro,a brisk and lively tempo
allelic,of or relating to alleles
allergy,hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
allgood,European plant naturalized in North America; often collected from the wild as a potherb
allover,covering the entire surface
alluvia,clay or silt or gravel carried by rushing streams and deposited where the stream slows down
allylic,of or pertaining to the allyl radical
almanac,an annual publication including weather forecasts and other miscellaneous information arranged according to the calendar of a given year
almoner,an official in a British hospital who looks after the social and material needs of the patients
alpinia,perennial rhizomatous herbs of Asia and Australia and Polynesia having ginger-scented rhizomes
already,prior to a specified or implied time
alright,nonstandard usage
alsatia,a region of northeastern France famous for its wines
althaea,any of various plants of the genus Althaea; similar to but having smaller flowers than genus Alcea
alumina,any of various forms of aluminum oxide occurring naturally as corundum
alumnae,a person who has received a degree from a school (high school or college or university)
alumnus,a person who has received a degree from a school (high school or college or university)
alundum,a substance made of fused alumina
alveoli,a tiny sac for holding air in the lungs; formed by the terminal dilation of tiny air passageways
alyssum,any garden plant of the genus Alyssum having clusters of small yellow or white flowers
amalgam,an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
amanita,genus of widely distributed agarics that have white spores and are poisonous with few exceptions
amastia,absence of the mammary glands (either through surgery or developmental defect)
amateur,someone who pursues a study or sport as a pastime
amative,inclined toward or displaying love
amatory,expressive of or exciting sexual love or romance
amazing,affect with wonder
amazona,a genus of Psittacidae
ambient,completely enveloping
ambling,walk leisurely
ambrose,(Roman Catholic Church) Roman priest who became bishop of Milan; the first Church Father born and raised in the Christian faith; composer of hymns; imposed orthodoxy on the early Christian church and built up its secular power; a saint and Doctor of the Church (340?-397)
amenity,pleasantness resulting from agreeable conditions
amentia,extreme mental retardation
america,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
amerind,any of the languages spoken by Amerindians
ametria,congenital absence of the uterus
amiable,disposed to please; - Hal Hinson
amiably,in an affable manner
amiidae,only the bowfins
ammeter,a meter that measures the flow of electrical current in amperes
ammonia,a water solution of ammonia
amnesia,partial or total loss of memory
amnesic,a person suffering from amnesia
amnesty,a period during which offenders are exempt from punishment
amniota,"higher vertebrates (reptiles, birds and mammals) possessing an amnion during development"
amniote,any member of the Amniota
amoebae,naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion
amoeban,pertaining to or resembling amoebae
amoebic,pertaining to or resembling amoebae
amoraim,one of a group of rabbis (active AD 250-500) who discussed the Mishnaic law in the law schools of Palestine and Mesopotamia where they explained and applied earlier teachings and whose discussions are recorded in the Talmud; they emphasized the study of Torah and the importance of personal action and the fulfillment of the commandments
amorist,one dedicated to love and lovemaking especially one who writes about love
amorous,inclined toward or displaying love
amorpha,any plant of the genus Amorpha having odd-pinnate leaves and purplish spicate flowers
amphora,an ancient jar with two handles and a narrow neck; used to hold oil or wine
amplify,"increase in size, volume or significance"
ampoule,a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
ampulla,the dilated portion of a canal or duct especially of the semicircular canals of the ear
amputee,someone who has had a limb removed by amputation
amsonia,genus of herbs and subshrubs with milky juice and showy bluish flowers; Europe to Asia Minor to Japan and North America
amusing,"occupy in an agreeable, entertaining or pleasant fashion"
amusive,providing enjoyment; pleasantly entertaining
amylase,any of a group of proteins found in saliva and pancreatic juice and parts of plants; help convert starch to sugar
amyloid,a non-nitrogenous food substance consisting chiefly of starch; any substance resembling starch
anaemia,a lack of vitality
anaemic,relating to anemia or suffering from anemia
anagoge,a mystical or allegorical interpretation (especially of Scripture)
anagram,a word or phrase spelled by rearranging the letters of another word or phrase
analogy,an inference that if things agree in some respects they probably agree in others
analyse,consider in detail and subject to an analysis in order to discover essential features or meaning
analyst,someone who is skilled at analyzing data
analyze,consider in detail and subject to an analysis in order to discover essential features or meaning
ananias,a habitual liar (after a New Testament character who was struck dead for lying)
anapsid,primitive reptile having no opening in the temporal region of the skull; all extinct except turtles
anarchy,a state of lawlessness and disorder (usually resulting from a failure of government)
anasazi,a Native American who lived in what is now southern Colorado and Utah and northern Arizona and New Mexico and who built cliff dwellings
anatomy,the branch of morphology that deals with the structure of animals
anchovy,tiny fishes usually canned or salted; used for hors d'oeuvres or as seasoning in sauces
anchusa,any of various Old World herbs of the genus Anchusa having one-sided clusters of trumpet-shaped flowers
ancient,a very old person
ancylus,type genus of the family Ancylidae: river limpet
andante,a moderately slow tempo (a walking pace)
andiron,metal supports for logs in a fireplace
andrena,a bee that is a member of the genus Andrena
android,an automaton that resembles a human being
anemone,any woodland plant of the genus Anemone grown for its beautiful flowers and whorls of dissected leaves
aneroid,a barometer that measures pressure without using fluids
anethum,dill
aneurin,a B vitamin that prevents beriberi; maintains appetite and growth
angelic,marked by utter benignity; resembling or befitting an angel or saint
angelus,the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited
angevin,a resident of Anjou
anginal,of or related to the pain of angina pectoris
angioma,a tumor consisting of a mass of blood or lymphatic vessels
anglian,one of the major dialects of Old English
angling,fishing with a hook and line (and usually a pole)
angrily,with anger
anguine,of or related to or resembling a snake
anguish,extreme mental distress
angular,measured by an angle or by the rate of change of an angle
anhinga,fish-eating bird of warm inland waters having a long flexible neck and slender sharp-pointed bill
aniline,oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines
animate,heighten or intensify
animism,the doctrine that all natural objects and the universe itself have souls
animist,one who accepts the doctrine of animism
animize,give lifelike qualities to
anionic,a class of synthetic detergents in which the molecules do not ionize in aqueous solutions
aniseed,"liquorice-flavored seeds, used medicinally and in cooking and liquors"
annelid,worms with cylindrical bodies segmented both internally and externally
annexal,of or pertaining to adnexa
annoyer,someone given to teasing (as by mocking or stirring curiosity)
annuity,income from capital investment paid in a series of regular payments
annular,shaped like a ring
annulet,(heraldry) a charge in the shape of a circle
annulus,a toroidal shape
anodize,coat a metal with an oxide coat
anodyne,a medicine used to relieve pain
anomala,genus of beetles whose grubs feed mainly on roots of plants; includes several pests of cultivated grasses
anomaly,deviation from the normal or common order or form or rule
anosmia,absence of the sense of smell (as by damage to olfactory nasal tissue or the olfactory nerve or by obstruction of the nasal passages)
anosmic,relating to an impairment or loss of the sense of smell
another,any of various alternatives; some other
anseres,used in some especially older classifications; coextensive with the family Anatidae
antacid,an agent that counteracts or neutralizes acidity (especially in the stomach)
antapex,the point opposite in direction from the solar apex; the point the solar system is moving away from
antares,the brightest star in Scorpius
antedon,a genus of echinoderms of the family Antedonidae
antefix,carved ornament at the eaves of a tile roof concealing the joints between tiles
antenna,an electrical device that sends or receives radio or television signals
anthill,a mound of earth made by ants as they dig their nest
anthony,Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)
anthrax,a highly infectious animal disease (especially cattle and sheep); it can be transmitted to people
antigen,any substance (as a toxin or enzyme) that stimulates an immune response in the body (especially the production of antibodies)
antique,an elderly man
antonym,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
antwerp,a busy port and financial center in northern Belgium on the Scheldt river; it has long been a center for the diamond industry and the first stock exchange was opened there in 1460
anurous,not having a tail
anxiety,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
anxious,eagerly desirous
anyways,used to indicate that a statement explains or supports a previous statement
apadana,the great hall in ancient Persian palaces
apatite,a common complex mineral consisting of calcium fluoride phosphate or calcium chloride phosphate; a source of phosphorus
apelike,resembling apes
aphagia,loss of the ability to swallow
aphakia,absence of the natural lens of the eye (usually resulting from the removal of cataracts)
aphakic,someone afflicted by aphakia; someone lacking the natural lenses of the eyes
aphasia,inability to use or understand language (spoken or written) because of a brain lesion
aphasic,someone affected by aphasia or inability to use or understand language
aphesis,the gradual disappearance of an initial (usually unstressed) vowel or syllable as in `squire' for `esquire'
aphetic,produced by aphesis
aphides,type genus of the Aphididae: injurious to fruit trees and vegetables
aphonia,a disorder of the vocal organs that results in the loss of voice
aphonic,being without sound through injury or illness and thus incapable of all but whispered speech
aphotic,lacking light; especially not reached by sunlight
aplasia,failure of some tissue or organ to develop
aplitic,of or related to aplite
aplysia,type genus of the family Aplysiidae
apocope,abbreviation of a word by omitting the final sound or sounds
apodeme,ridge-like ingrowth of the exoskeleton of an arthropod that supports internal organs and provides attachment points for muscles
apodous,(of snakes and eels) naturally footless
apogamy,(botany) development of an embryo without fertilization; especially the development in some ferns of a sporophyte from the gametophyte without fertilization
apogean,relating to or characteristic of an apogee
apoidea,bees
apojove,apoapsis in orbit around Jupiter
apology,an expression of regret at having caused trouble for someone
apostle,an ardent early supporter of a cause or reform
apparel,clothing in general
appease,cause to be more favorably inclined; gain the good will of
applaud,clap one's hands or shout after performances to indicate approval
applied,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
applier,a person who requests or seeks something such as assistance or employment or admission
appoint,create and charge with a task or function
apprise,inform (somebody) of something
apprize,inform (somebody) of something
approve,give sanction to
apraxia,inability to make purposeful movements
apraxic,"having uncoordinated muscular movements, symptomatic of a CNS disorder"
apricot,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach
apropos,of an appropriate or pertinent nature
apsidal,of or relating to an apse
apsides,a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
apteral,having columns at one or both ends but not along the sides
apteryx,nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes
aptness,a disposition to behave in a certain way
aquaria,a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquatic,a plant that lives in or on water
aquavit,Scandinavian liquor usually flavored with caraway seeds
aqueous,similar to or containing or dissolved in water
aquifer,underground bed or layer yielding ground water for wells and springs etc
arabian,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arabist,a scholar who specializes in Arab languages and culture
araceae,anthurium; calla lily; jack-in-the-pulpit; philodendron
arachis,a genus of plants with pods that ripen underground (see peanut)
aramaic,a Semitic language originally of the ancient Arameans but still spoken by other people in southwestern Asia
araneae,spiders
arapaho,a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)
arariba,Brazilian tree with handsomely marked wood
araroba,a bitter yellow powder used to treat skin diseases
araujia,small genus of South American evergreen vines
arbiter,someone with the power to settle matters at will
arbutus,any of several evergreen shrubs of the genus Arbutus of temperate Europe and America
arcadia,a department of Greece in the central Peloponnese
arcadic,the dialect of Ancient Greek spoken by Arcadians
arcanum,information known only to a special group
arcella,an amoeba-like protozoan with a chitinous shell resembling an umbrella
archaic,so extremely old as seeming to belong to an earlier period
archean,"the time from 3,800 million years to 2,500 million years ago; earth's crust formed; unicellular organisms are earliest forms of life"
archery,the sport of shooting arrows with a bow
arching,form an arch or curve
archive,a depository containing historical records and documents
archway,a passageway under a curved masonry construction
arcidae,ark shells
arcking,form an arch or curve
arctiid,stout-bodied broad-winged moth with conspicuously striped or spotted wings; larvae are hairy caterpillars
arctium,burdock
arcuate,forming or resembling an arch
ardisia,tropical evergreen subshrubs (some climbers) to trees of Asia and Australasia to Americas
arduous,characterized by effort to the point of exhaustion; especially physical effort
areaway,a passageway between buildings or giving access to a basement
areolar,relating to or like or divided into areolae
argasid,tick lacking a dorsal shield and having mouth parts on the under side of the head
argiope,the type genus of Argiopidae; small genus of orb-weaving spiders
argonne,an American operation in World War I (1918); American troops under Pershing drove back the German armies which were saved only by the armistice on November 11
argyrol,antiseptic consisting of a compound of protein and silver (trade name Argyrol)
ariadne,beautiful daughter of Minos and Pasiphae; she fell in love with Theseus and gave him the thread with which he found his way out of the Minotaur's labyrinth
aridity,the quality of yielding nothing of value
arietta,a short aria
ariidae,sea catfishes
arikara,a member of the Caddo people who formerly lived in the Dakotas west of the Missouri river
arizona,a state in southwestern United States; site of the Grand Canyon
armeria,shrubby or herbaceous low-growing evergreen perennials
armhole,a hole through which you put your arm and where a sleeve can be attached
armiger,a squire carrying the armor of a knight
armilla,a celestial globe consisting of metal hoops; used by early astronomers to determine the positions of stars
armless,having no arms
armoire,a large wardrobe or cabinet; originally used for storing weapons
armored,equip with armor
armorer,a worker skilled in making armor or arms
armrest,a support for the arm
arousal,the act of arousing
arouser,someone who rouses others from sleep
arraign,call before a court to answer an indictment
arrange,put into a proper or systematic order
arrival,accomplishment of an objective
arriver,someone who arrives (or has arrived)
arsenal,all the weapons and equipment that a country has
arsenic,a white powdered poisonous trioxide of arsenic; used in manufacturing glass and as a pesticide (rat poison) and weed killer
artamus,type genus of the Artamidae
artemia,fairy shrimp; brine shrimp
artemis,(Greek mythology) the virgin goddess of the hunt and the Moon; daughter of Leto and twin sister of Apollo; identified with Roman Diana
article,nonfictional prose forming an independent part of a publication
artisan,a skilled worker who practices some trade or handicraft
artiste,a public performer (a dancer or singer)
artless,characterized by an inability to mask your feelings; not devious
ascaris,type genus of the family Ascaridae: roundworms with a three-lipped mouth
ascetic,someone who practices self denial as a spiritual discipline
ascites,accumulation of serous fluid in peritoneal cavity
ascitic,of or relating to or resulting from an abnormal accumulation of protein and electrolyte rich fluid in the peritoneal cavity
ascribe,attribute or credit to
asepsis,(of non-living objects) the state of being free of pathogenic organisms
aseptic,free of or using methods to keep free of pathological microorganisms
asexual,not having or involving sex
ashamed,feeling shame or guilt or embarrassment or remorse
ashcake,corn bread wrapped in cabbage leaves and baked in hot ashes (southern)
asiatic,a native or inhabitant of Asia
asimina,pawpaw
asinine,devoid of intelligence
askance,(used especially of glances) directed to one side with or as if with doubt or suspicion or envy; - Elizabeth Bowen
asocial,given to avoiding association with others
asperse,charge falsely or with malicious intent; attack the good name and reputation of someone
asphalt,mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
aspirer,an ambitious and aspiring young person
aspirin,"the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
asquint,(used especially of glances) directed to one side with or as if with doubt or suspicion or envy; - Elizabeth Bowen
assagai,the slender spear of the Bantu-speaking people of Africa
assault,close fighting during the culmination of a military attack
assayer,an analyst who assays (performs chemical tests on) metals
assegai,the slender spear of the Bantu-speaking people of Africa
assizes,the county courts of England (replaced in 1971 by Crown courts)
assuage,cause to be more favorably inclined; gain the good will of
assumed,take to be the case or to be true; accept without verification or proof
assured,make certain of
astacus,type genus of the family Astacidae; Old World crayfish
astarte,an ancient Phoenician goddess of love and fertility; the Phoenician counterpart to Ishtar
astasia,inability to stand due to muscular incoordination
astatic,not static or stable
astheny,an abnormal loss of strength
astilbe,any plant of the genus Astilbe having compound leaves and showy panicles of tiny colorful flowers
astound,affect with wonder
astride,with one leg on each side
astylar,lacking columns or pillars
asunder,widely separated especially in space
atactic,lacking motor coordination; marked or caused by ataxia
atavism,a reappearance of an earlier characteristic
atavist,an organism that has the characteristics of a more primitive type of that organism
atelier,a studio especially for an artist or designer
athanor,a furnace that feeds itself so as to maintain a uniform temperature; used by alchemists
atheism,the doctrine or belief that there is no God
atheist,someone who denies the existence of god
athirst,(usually followed by `for') extremely desirous
athlete,a person trained to compete in sports
athodyd,a simple type of jet engine; must be launched at high speed
athwart,at right angles to the center line of a ship
atlanta,state capital and largest city of Georgia; chief commercial center of the southeastern United States; was plundered and burned by Sherman's army during the American Civil War
atomism,(psychology) a theory that reduces all mental phenomena to simple elements (sensations and feelings) that form complex ideas by association
atomize,spray very finely
atresia,an abnormal condition in which a normal opening or tube in the body (as the urethra) is closed or absent
atrophy,a decrease in size of an organ caused by disease or disuse
attache,a specialist assigned to the staff of a diplomatic mission
attaint,bring shame or dishonor upon
attalea,unarmed feather palms of central and northern South America
attempt,earnest and conscientious activity intended to do or accomplish something
attired,put on special clothes to appear particularly appealing and attractive
attract,direct toward itself or oneself by means of some psychological power or physical attributes
auction,a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
audible,a football play is changed orally after both teams have assumed their positions at the line of scrimmage
audibly,in an audible manner
auditor,someone who listens attentively
augitic,of or relating to or containing the mineral augite
augment,enlarge or increase
augusta,the capital of the state of Maine
aurally,with regard to sound or the ear
aureate,elaborately or excessively ornamented
aureole,the outermost region of the sun's atmosphere; visible as a white halo during a solar eclipse
auricle,a small conical pouch projecting from the upper anterior part of each atrium of the heart
aurochs,European bison having a smaller and higher head than the North American bison
aurorae,the first light of day
auroral,of or relating to the atmospheric phenomenon auroras
auspice,a favorable omen
austere,severely simple
austral,the basic unit of money in Argentina; equal to 100 centavos
autarky,economic independence as a national policy
autobus,a vehicle carrying many passengers; used for public transport
automat,a vending machine from which you can get food
autopsy,an examination and dissection of a dead body to determine cause of death or the changes produced by disease
auxesis,growth from increase in cell size without cell division
auxetic,of or relating to growth by auxesis
auxinic,relating to or containing auxins
avarice,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
avellan,pertaining to filberts or hazelnuts
avenger,someone who takes vengeance
average,a statistic describing the location of a distribution
averted,prevent the occurrence of; prevent from happening
avestan,an ancient Iranian language
aviator,someone who operates an aircraft
avidity,a positive feeling of wanting to push ahead with something
avocado,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
awesome,inspiring awe or admiration or wonder; ; ; ; - Melville
awfully,used as intensifiers
awkward,causing inconvenience
awlwort,small aquatic plant having tufted awl-shaped leaves in a basal rosette and minute white flowers; circumboreal
awnless,lacking or having only very short awns
axially,with respect to an axis
axillae,the hollow under the arm where it is joined to the shoulder
axolotl,larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
azimuth,the azimuth of a celestial body is the angle between the vertical plane containing it and the plane of the meridian
aztecan,the Uto-Aztecan language spoken by the Aztec
azurite,blue carbonate of copper; blue malachite
azygous,occurring singly; not one of a pair
