word,definition
arena,a particular environment or walk of life
arete,a sharp narrow ridge found in rugged mountains
argal,wild sheep of semidesert regions in central Asia
argil,a white clay (especially a white clay used by potters)
argon,a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere
argot,a characteristic language of a particular group (as among thieves)
argue,present reasons and arguments
argus,(Greek mythology) a giant with 100 eyes; was guardian of the heifer Io and was slain by Hermes
arhat,a Buddhist who has attained nirvana
aries,(astrology) a person who is born while the sun is in Aries
arise,come into existence; take on form or shape
arius,a Greek who was a Christian theologian active in Alexandria and who was declared a heretic for his doctrines about God (which came to be known as Arianism) (256?-336)
arles,money given by a buyer to a seller to bind a contract
armed,prepare oneself for a military confrontation
armet,a medieval helmet with a visor and a neck guard
armor,protective covering made of metal and used in combat
aroid,any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe
aroma,any property detected by the olfactory system
arose,come into existence; take on form or shape
arras,a wall hanging of heavy handwoven fabric with pictorial designs
array,an orderly arrangement
arrow,a mark to indicate a direction or relation
arson,malicious burning to destroy property
artal,a unit of weight used in some Moslem countries near the Mediterranean; varies between one and five pounds
artel,a unit of weight used in some Moslem countries near the Mediterranean; varies between one and five pounds
arulo,an artificial language intended for international use as an auxiliary language
aryan,(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew)
asana,(Hinduism) a posture or manner of sitting (as in the practice of yoga)
asarh,the fourth month of the Hindu calendar
ascii,(computer science) a code for information exchange between computers made by different companies; a string of 7 binary digits represents each character; used in most microcomputers
ascot,a cravat with wide square ends; secured with an ornamental pin
ascus,saclike structure in which ascospores are formed through sexual reproduction of ascomycetes
asdic,a measuring instrument that sends out an acoustic pulse in water and measures distances in terms of the time for the echo of the pulse to return
ashen,anemic looking from illness or emotion; ; ; ; ; - Mary W. Shelley
ashes,the residue that remains when something is burned
ashir,chief god of the Assyrians; god of military prowess and empire; identified with Babylonian Anshar
ashur,chief god of the Assyrians; god of military prowess and empire; identified with Babylonian Anshar
asian,a native or inhabitant of Asia
aside,a line spoken by an actor to the audience but not intended for others on the stage
asker,someone who asks a question
askew,turned or twisted toward one side; - G.K.Chesterton
aspen,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
asper,20 aspers equal 1 kurus in Turkey
aspic,savory jelly based on fish or meat stock used as a mold for meats or vegetables
assam,state in northeastern India
assay,an appraisal of the state of affairs
asset,a useful or valuable quality
aster,any of various chiefly fall-blooming herbs of the genus Aster with showy daisylike flowers
astir,out of bed
astor,British politician (born in the United States) who was the first woman to sit in the British House of Commons (1879-1964)
ataxy,inability to coordinate voluntary muscle movements; unsteady movements and staggering gait
athar,essential oil or perfume obtained from flowers
atilt,departing or being caused to depart from the true vertical or horizontal
atlas,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
atoll,an island consisting of a circular coral reef surrounding a lagoon
atone,make amends for
atony,lack of normal muscular tension or tonus
atopy,an allergic reaction that becomes apparent in a sensitized person only minutes after contact
atria,any chamber that is connected to other chambers or passageways (especially one of the two upper chambers of the heart)
atrip,(of an anchor) just clear of the bottom
attar,essential oil or perfume obtained from flowers
attic,floor consisting of open space at the top of a house just below roof; often used for storage
audio,the audible part of a transmitted signal
audit,an inspection of the accounting procedures and records by a trained accountant or CPA
auger,a long flexible steel coil for dislodging stoppages in curved pipes
aught,a quantity of no importance
augur,(ancient Rome) a religious official who interpreted omens to guide public policy
aurae,a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
aural,of or pertaining to hearing or the ear
aurar,100 aurar equal 1 krona in Iceland
auric,of or relating to or containing or derived from gold
auxin,a plant hormone that promotes root formation and bud growth
avahi,a genus of Indriidae
avail,a means of serving
avena,oats
avens,any of various perennials of the genus Geum having usually pinnate basal leaves and variously colored flowers
avert,prevent the occurrence of; prevent from happening
avian,pertaining to or characteristic of birds
avoid,stay clear from; keep away from; keep out of the way of someone or something
await,look forward to the probable occurrence of
awake,stop sleeping
award,a grant made by a law court
aware,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception
awash,covered with water
awful,exceptionally bad or displeasing
awing,inspire awe in
awned,having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses
awoke,stop sleeping
axial,of or relating to or resembling an axis of rotation
axile,relating to or attached to the axis
axiom,a saying that is widely accepted on its own merits
azide,a chemical compound containing the azido group combined with an element or radical
azoic,before the appearance of life
azote,an obsolete name for nitrogen
aztec,a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519
azure,a light shade of blue
babel,(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another
baboo,used as a Hindi courtesy title; equivalent to English `Mr'
bacca,an indehiscent fruit derived from a single ovary having one or many seeds within a fleshy wall or pericarp: e.g. grape; tomato; cranberry
bacon,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
badge,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)
badly,to a severe or serious degree
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
baggy,not fitting closely; hanging loosely
bahai,a teacher of or believer in Bahaism
bairn,a child: son or daughter
baize,a bright green fabric napped to resemble felt; used to cover gaming tables
baked,cook and make edible by putting in a hot oven
baker,someone who bakes commercially
balas,a pale rose-colored variety of the ruby spinel
baldy,a person whose head is bald
balky,stopping short and refusing to go on
bally,informal intensifiers
balmy,informal or slang terms for mentally irregular
balsa,strong lightweight wood of the balsa tree used especially for floats
banal,repeated too often; overfamiliar through overuse
bandy,toss or strike a ball back and forth
banff,a popular vacation spot in the Canadian Rockies
banjo,a stringed instrument of the guitar family that has long neck and circular body
banns,a public announcement of a proposed marriage
bantu,a member of any of a large number of linguistically related peoples of Central and South Africa
barer,completely unclothed
barge,a flatbottom boat for carrying heavy loads (especially on canals)
baric,of or relating to or containing barium
baris,capital city of the Apulia region on the Adriatic coast
barky,resembling the rough bark of a tree
barmy,marked by spirited enjoyment
baron,a nobleman (in various countries) of varying rank
barth,Swiss Protestant theologian (1886-1968)
barye,the absolute unit of pressure equal to one dyne per square centimeter
basal,especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem
based,use as a basis for; found on
bases,installation from which a military force initiates operations
basic,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
basil,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum
basin,a bowl-shaped vessel; usually used for holding food or liquids
basis,a relation that provides the foundation for something
basso,an adult male singer with the lowest voice
baste,a loose temporary sewing stitch to hold layers of fabric together
batch,all the loaves of bread baked at the same time
bated,moderate or restrain; lessen the force of
bathe,the act of swimming
batik,a dyed fabric; a removable wax is used where the dye is not wanted
batis,small genus of plants constituting the family Batidaceae: low straggling dioecious shrubs
baton,a thin tapered rod used by a conductor to lead an orchestra or choir
batty,informal or slang terms for mentally irregular
bayed,utter in deep prolonged tones
bayou,a swampy arm or slow-moving outlet of a lake (term used mainly in Mississippi and Louisiana)
beach,an area of sand sloping down to the water of a sea or lake
beady,small and round and shiny like a shiny bead or button
beamy,broad in the beam
beano,a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
beany,a small skullcap; formerly worn by schoolboys and college freshmen
beard,the hair growing on the lower part of a man's face
beast,a living organism characterized by voluntary movement
beaux,a man who is the lover of a girl or young woman
bebop,an early form of modern jazz (originating around 1940)
bedew,cover with drops of dew or as with dew
bedim,make darker and difficult to perceive by sight
beech,any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
beefy,muscular and heavily built
beery,smelling of beer
befit,accord or comport with
befog,make less visible or unclear
begat,make children
beget,make children
begin,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
begum,a Muslim woman of high rank in India or Pakistan
begun,take the first step or steps in carrying out an action
beige,a very light brown
being,the state or fact of existing
beira,a port city in eastern Mozambique on the Mozambique Channel
belay,something to which a mountain climber's rope can be secured
belch,a reflex that expels gas noisily from the stomach through the mouth
belie,be in contradiction with
belle,a young woman who is the most charming and beautiful of several rivals
belly,the region of the body of a vertebrate between the thorax and the pelvis
below,in or to a place that is lower
bench,a long seat for more than one person
benet,United States poet; brother of William Rose Benet (1898-1943)
benin,a country on western coast of Africa; formerly under French control
benne,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
benny,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
beret,a cap with no brim or bill; made of soft cloth
berne,the capital of Switzerland; located in western Switzerland
beroe,delicately iridescent thimble-shaped ctenophores
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
berth,a job in an organization
beryl,the chief source of beryllium; colored transparent varieties are valued as gems
beset,annoy continually or chronically
besom,a broom made of twigs tied together on a long handle
besot,make dull or stupid or muddle with drunkenness or infatuation
betel,Asian pepper plant whose dried leaves are chewed with betel nut (seed of the betel palm) by southeast Asians
bevel,two surfaces meeting at an angle different from 90 degrees
bezel,a sloping edge on a cutting tool
bhaga,Hindu god of wealth and love
bhang,a preparation of the leaves and flowers of the hemp plant; much used in India
bible,the sacred writings of the Christian religions
biddy,adult female chicken
bidet,a basin for washing genitals and anal area
bifid,divided into two lobes
bight,a loop in a rope
bigot,a prejudiced person who is intolerant of any opinions differing from his own
bijou,a small and delicately worked piece
bilby,bandicoot with leathery ears like a rabbit
bilge,water accumulated in the bilge of a ship
bilgy,smelling like bilge water
billy,a short stout club used primarily by policemen
binge,any act of immoderate indulgence
bingo,a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
biome,a major biotic community characterized by the dominant forms of plant life and the prevailing climate
biota,all the plant and animal life of a particular region
biped,an animal with two feet
birch,hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood
birle,cause a floating log to rotate by treading
birth,the time when something begins (especially life)
bison,any of several large humped bovids having shaggy manes and large heads and short horns
bitch,an unpleasant difficulty
biter,someone who bites
bitis,a genus of Viperidae
bitty,(used informally) very small
bizet,French composer best known for his operas (1838-1875)
black,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
blade,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
blain,an inflammatory swelling or sore
blair,British statesman who became prime minister in 1997 (born in 1953)
blake,visionary British poet and painter (1757-1827)
blame,an accusation that you are responsible for some lapse or misdeed
blanc,"a white sauce of fat, broth, and vegetables (used especially with braised meat)"
bland,lacking taste or flavor or tang
blank,a blank character used to separate successive words in writing or printing
blare,a loud harsh or strident noise
blase,very sophisticated especially because of surfeit; versed in the ways of the world
blast,a very long fly ball
blate,cry plaintively
blaze,a strong flame that burns brightly
bleak,offering little or no hope; ; ; - J.M.Synge
blear,make dim or indistinct
bleat,the sound of sheep or goats (or any sound resembling this)
bleed,lose blood from one's body
blend,an occurrence of thorough mixing
bless,give a benediction to
blest,give a benediction to
blimp,any elderly pompous reactionary ultranationalistic person (after the cartoon character created by Sir David Low)
blind,"people who have severe visual impairments, considered as a group"
blink,a reflex that closes and opens the eyes rapidly
bliss,a state of extreme happiness
blitz,(American football) defensive players try to break through the offensive line
bloat,swelling of the rumen or intestinal tract of domestic animals caused by excessive gas
block,a solid piece of something (usually having flat rectangular sides)
bloke,a boy or man
blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets"
bloom,the organic process of bearing flowers
blown,exhale hard
blowy,abounding in or exposed to the wind or breezes
bluer,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky; - Helen Hunt Jackson
blues,a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes
bluff,a high steep bank (usually formed by river erosion)
blunt,make less intense
blurb,a promotional statement (as found on the dust jackets of books)
blurt,utter impulsively
blush,a rosy color (especially in the cheeks) taken as a sign of good health
board,a committee having supervisory powers
boast,speaking of yourself in superlatives
bobby,an informal term for a British policeman
bocce,Italian bowling played on a long narrow dirt court
boche,offensive term for a person of German descent
bodge,"make a mess of, destroy or ruin"
bogey,an evil spirit
boggy,(of soil) soft and watery
bogie,an evil spirit
bogus,fraudulent; having a misleading appearance
bolti,important food fish of the Nile and other rivers of Africa and Asia Minor
bolus,a small round soft mass (as of chewed food)
bonce,informal terms for a human head
boned,"study intensively, as before an exam"
boner,an embarrassing mistake
boney,having bones especially many or prominent bones
bongo,a small drum; played with the hands
bonny,very pleasing to the eye
bonus,anything that tends to arouse
booby,an ignorant or foolish person
boone,an American pioneer and guide and explorer (1734-1820)
boost,the act of giving hope or support to someone
booth,a table (in a restaurant or bar) surrounded by two high-backed benches
boots,footwear that covers the whole foot and lower leg
booty,goods or money obtained illegally
booze,an alcoholic beverage that is distilled rather than fermented
boozy,given to or marked by the consumption of alcohol
borax,an ore of boron consisting of hydrated sodium borate; used as a flux or cleansing agent
borer,a drill for penetrating rock
boric,of or relating to or derived from or containing boron
borne,have
boron,a trivalent metalloid element; occurs both in a hard black crystal and in the form of a yellow or brown powder
bosch,Dutch painter (1450-1516)
bosky,covered with or consisting of bushes or thickets; ; ; - Jack Beatty
bosom,the chest considered as the place where secret thoughts are kept
bossy,offensively self-assured or given to exercising usually unwarranted power
bosun,a petty officer on a merchant ship who controls the work of other seamen
botch,an embarrassing mistake
bough,any of the larger branches of a tree
boule,an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork
bound,a line determining the limits of an area
bourn,an archaic term for a boundary
bouse,haul with a tackle
bovid,hollow-horned ruminants
bowed,"bend one's knee or body, or lower one's head"
bowel,the part of the alimentary canal between the stomach and the anus
bower,a framework that supports climbing plants
bowie,United States pioneer and hero of the Texas revolt against Mexico; he shared command of the garrison that resisted the Mexican attack on the Alamo where he died (1796-1836)
bowls,a bowling game played on a level lawn with biased wooden balls that are rolled at a jack
boxer,someone who fights with his fists for sport
brace,a support that steadies or strengthens something else
bract,a modified leaf or leaflike part just below and protecting an inflorescence
bragi,(Norse mythology) god of poetry and music; son of Odin
braid,a hairdo formed by braiding or twisting the hair
brail,a small net used to draw fish into a boat
brain,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
brake,a restraint used to slow or stop a vehicle
braky,covered with brambles and ferns and other undergrowth
brand,a name given to a product or service
brant,small dark geese that breed in the north and migrate southward
brash,offensively bold
brass,an alloy of copper and zinc
brave,a North American Indian warrior
bravo,a murderer (especially one who kills a prominent political figure) who kills by a surprise attack and often is hired to do the deed
brawl,an uproarious party
brawn,possessing muscular strength
braze,solder together by using hard solder with a high melting point
bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
break,some abrupt occurrence that interrupts an ongoing activity
bream,flesh of various freshwater fishes of North America or of Europe
breed,a special variety of domesticated animals within a species
brent,small dark geese that breed in the north and migrate southward
breve,a diacritical mark (U-shaped) placed over a vowel to indicate a short sound
briar,Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
bribe,payment made to a person in a position of trust to corrupt his judgment
brick,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
bride,a woman who has recently been married
brief,a document stating the facts and points of law of a client's case
brier,tangled mass of prickly plants
brill,European food fish
brine,water containing salts
bring,take something or somebody with oneself somewhere
brink,a region marking a boundary
briny,any very large body of (salt) water
brisk,become brisk
briss,the Jewish rite of circumcision performed on a male child on the eighth day of his life
brith,the Jewish rite of circumcision performed on a male child on the eighth day of his life
broad,slang term for a woman
broil,cooking by direct exposure to radiant heat (as over a fire or under a grill)
broke,terminate
brome,any of various woodland and meadow grasses of the genus Bromus; native to temperate regions
bronc,an unbroken or imperfectly broken mustang
bronx,a borough of New York City
brood,the young of an animal cared for at one time
brook,a natural stream of water smaller than a river (and often a tributary of a river)
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
broth,liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces
brown,an orange of low brightness and saturation
bruce,Australian physician and bacteriologist who described the bacterium that causes undulant fever or brucellosis (1855-1931)
bruin,a conventional name for a bear used in tales following usage in the old epic `Reynard the Fox'
bruit,tell or spread rumors
brule,a member of a group of Siouan people who constituted a division of the Teton Sioux
bruno,German pope from 1049 to 1054 whose papacy was the beginning of papal reforms in the 11th century (1002-1054)
brunt,main force of a blow etc
brush,a dense growth of bushes
brute,a cruelly rapacious person
bryan,United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)
bryum,type genus of the Bryaceae: mosses distinguished by mostly erect and tufted gametophytes and symmetrical short-necked capsules
buddy,a close friend who accompanies his buddies in their activities
budge,United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
buggy,a small lightweight carriage; drawn by a single horse
bugle,a brass instrument without valves; used for military calls and fanfares
build,constitution of the human body
built,make by combining materials and parts
bulge,something that bulges out or is protuberant or projects from its surroundings
bulgy,curving outward
bulky,of large size for its weight
bulla,(pathology) an elevation of the skin filled with serous fluid
bully,a cruel and brutal fellow
bumpy,causing or characterized by jolts and irregular movements
bunce,a sudden happening that brings good fortune (as a sudden opportunity to make money)
bunch,a grouping of a number of similar things
bunko,a swindle in which you cheat at gambling or persuade a person to buy worthless property
bunny,a young waitress in a nightclub whose costume includes the tail and ears of a rabbit
buret,measuring instrument consisting of a graduated glass tube with a tap at the bottom; used for titration
burgh,a borough in Scotland
burin,a chisel of tempered steel with a sharp point; used for engraving
burka,a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan
burke,British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)
burly,muscular and heavily built
burnt,destroy by fire
burro,small donkey used as a pack animal
burry,having or covered with protective barbs or quills or spines or thorns or setae etc.
bursa,a city in northwestern Turkey
burst,the act of exploding or bursting
busby,tall hat; worn by some British soldiers on ceremonial occasions
bushy,used of hair; thick and poorly groomed
butch,(slang) offensive term for a lesbian who is noticeably masculine
butea,genus of East Indian trees or shrubs: dhak
buteo,broad-winged soaring hawks
butte,a hill that rises abruptly from the surrounding region; has a flat top and sloping sides
butty,a sandwich
butyl,a hydrocarbon radical (C4H9)
buxom,(of a woman's body) having a large bosom and pleasing curves
buxus,type genus of the Buxaceae
buyer,a person who buys
bylaw,a rule adopted by an organization in order to regulate its own affairs and the behavior of its members
byron,English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
byway,a side road little traveled (as in the countryside)
cabal,a clique (often secret) that seeks power usually through intrigue
cabby,someone who drives a taxi for a living
