word,definition
KOA,Hawaiian tree
KOB,type of antelope
KOI,ornamental fish
KOP,hill
KOR,Hebrew measure
KOS,Indian measure of distance
KUE,letter Q
KYE,cattle
KYU,grade in martial arts
LAB,laboratory
LAC,resinous substance
LAD,boy
LAG,to fall behind
LAH,musical note
LAM,to flee
LAP,to drink with tongue
LAR,household god
LAS,plural of la
LAT,latissimus dorsi muscle
LAV,lavatory
LAW,rule
LAX,loose
LAY,to put down
LEA,meadow
LED,past tense of lead
LEE,shelter
LEG,limb
LEI,Hawaiian garland
LEK,Albanian monetary unit
LEP,to leap
LET,to allow
LEU,Romanian monetary unit
LEV,Bulgarian monetary unit
LEW,warm
LEX,law
LEY,field temporarily under grass
LIB,liberation
LID,cover
LIE,untruth
LIG,to freeload
LIN,linden tree
LIP,edge of mouth
LIS,plural of li
LIT,past tense of light
LOB,to throw high
LOC,location
LOD,waterway
LOG,piece of wood
LOO,toilet
LOP,to cut off
LOR,exclamation
LOS,plural of lo
LOT,fate
LOU,variant of loo
LOW,not high
LOX,smoked salmon
LOY,spade
LUD,lord
LUG,to drag
LUM,chimney
LUN,to loon
LUR,Scandinavian horn
LUV,love
LUX,unit of illumination
LUZ,almond
LYE,alkaline solution
LYM,leash for bloodhound
MAA,to bleat
MAC,son
MAD,insane
MAE,more
MAG,magazine
MAK,to make
MAL,bad
MAM,mother
MAN,adult male
MAP,chart
MAR,to damage
MAS,plural of ma
MAT,floor covering
MAW,mouth or stomach
MAX,maximum
MAY,fifth month
MED,medical
MEE,to meet
MEG,megabyte
MEH,exclamation of indifference
MEL,honey
MEM,Hebrew letter
MEN,plural of man
MES,plural of me
MET,past tense of meet
MEU,type of plant
MEW,to cry like cat
MHO,unit of conductance
MIB,marble
MIC,microphone
MID,middle
MIG,type of aircraft
MIL,unit of measurement
MIM,prim
MIR,Russian peasant community
MIS,plural of mi
MIX,to combine
MIZ,misery
MMM,exclamation of pleasure
MNA,variant of mina
MOA,extinct bird
MOB,crowd
MOC,moccasin
MOD,modification
MOE,to make faces
MOG,cat
MOI,me
MOL,mole
MOM,mother
MON,man
MOO,sound of cow
MOP,cleaning tool
MOR,humus
MOS,plural of mo
MOT,witty saying
MOU,variant of mouth
MOW,to cut grass
MOY,variant of moi
MUD,wet earth
MUG,drinking cup
MUM,mother
MUN,must
MUS,plural of mu
MUT,mutt
MUX,to multiplex
MYC,relating to fungus
NAB,to catch
NAE,no
NAG,to pester
NAH,no
NAM,variant of name
NAN,grandmother
NAP,short sleep
NAS,plural of na
NAT,nationalist
NAV,navigation
NAW,no
NAY,no
NEB,nose or beak
NED,peasant
NEE,born
NEF,ship-shaped vessel
NEG,photographic negative
NEK,mountain pass
NEP,fiber combed from wool
NET,mesh
NEW,recent
NIB,pen point
NID,nest
NIE,nigh
NIL,nothing
NIM,game
NIP,to pinch
NIS,friendly goblin
NIT,louse egg
NIX,nothing
NOB,head
NOD,to move head up and down
NOG,eggnog
NOH,form of Japanese theater
NOM,to eat
NON,not
NOO,now
NOR,and not
NOS,plural of no
NOT,negation
NOW,at present
NOX,nitrogen oxide
NOY,to annoy
NTH,indefinitely large number
NUB,small lump
NUG,small chunk
NUN,female religious
NUR,knurl
NUS,plural of nu
NUT,hard fruit
NYE,near
OAF,clumsy person
OAK,type of tree
OAR,rowing implement
OAT,cereal grain
OBA,African ruler
OBE,form of magic
OBI,Japanese sash
OBO,type of ship
OBS,plural of ob
OCA,wood sorrel
OCH,exclamation
ODA,room in harem
ODD,strange
ODE,type of poem
ODS,plural of od
OES,plural of o
OFF,away from
OFT,often
OHM,unit of resistance
OHO,exclamation
OHS,plural of oh
OIK,obnoxious person
OIL,viscous liquid
OIS,plural of oi
OKA,Turkish unit of weight
OKE,variant of oka
OLD,aged
OLE,exclamation
OLM,cave salamander
OMA,grandmother
OMS,plural of om
ONE,single unit
ONO,or near offer
ONS,plural of on
ONY,any
OOF,exclamation of discomfort
OOH,exclamation
OOM,uncle
OON,oven
OOP,to bind with thread
OOR,our
OOS,plural of oo
OOT,out
OPA,grandfather
OPE,to open
OPS,plural of op
OPT,to choose
ORA,plural of os
ORB,sphere
ORC,mythical creature
ORD,point of spear
ORE,mineral
ORF,viral infection
ORG,organization
ORS,plural of or
ORT,morsel of food
OSE,variant of esker
OUD,musical instrument
OUK,week
OUP,to bind with thread
OUR,belonging to us
OUS,plural of ou
OUT,not in
OVA,plural of ovum
OWE,to be in debt
OWL,nocturnal bird
OWN,to possess
OWT,anything
OXO,brand of stock cubes
OXY,containing oxygen
OYE,grandchild
OYS,plural of oy
PAC,political action committee
PAD,cushion
PAH,exclamation of contempt
PAK,Pakistani
PAL,friend
PAM,knave of clubs
PAN,cooking utensil
PAP,soft food
PAR,equality
PAS,plural of pa
PAT,to touch gently
PAV,pavement
PAW,animal's foot
PAX,peace
PAY,to give money
PEA,round green vegetable
PEC,pectoral muscle
PED,pedestrian
PEE,to urinate
PEG,wooden pin
PEH,Hebrew letter
PEL,to peel
PEN,writing instrument
PEP,energy
PER,for each
PES,plural of pe
PET,domestic animal
PEW,church bench
PHI,Greek letter
PHO,Vietnamese soup
PHT,exclamation of contempt
PIA,brain membrane
PIC,picture
PIE,baked dish
PIG,swine
PIN,fastener
PIP,seed
PIR,Muslim saint
PIS,plural of pi
PIT,hole in ground
PIU,more
PIX,pictures
PLU,plural
PLY,to work steadily
POA,type of grass
POD,seed case
POH,exclamation
POI,Hawaiian food
POL,politician
POM,Pomeranian
POO,feces
POP,to burst
POS,plural of po
POT,container
POW,exclamation
POX,disease
POZ,positive
PRE,before
PRO,professional
PRY,to poke
PSI,Greek letter
PST,exclamation for attention
PUB,public house
PUD,pudding
PUG,small dog
PUH,exclamation
PUL,monetary unit
PUN,play on words
PUP,young dog
PUR,to purr
PUS,infected matter
PUT,to place
PUY,small volcanic cone
PWN,to dominate
PYA,monetary unit
PYE,magpie
PYX,container
QAT,evergreen shrub
QIN,Chinese musical instrument
QIS,plural of qi
QUA,in the capacity of
RAD,unit of radiation
RAG,piece of cloth
RAH,exclamation of encouragement
RAI,type of music
RAJ,sovereignty
RAM,male sheep
RAN,past tense of run
RAP,to strike quickly
RAS,plural of ra
RAT,rodent
RAV,variant of rav
RAW,uncooked
RAX,to stretch
RAY,beam of light
REB,Confederate soldier
REC,recreation
RED,color
REE,to sieve
REF,referee
REG,regulation
REH,salt efflorescence
REI,outdoor equipment company
REM,unit of radiation
REN,to run
REO,language
REP,representative
RES,thing
RET,to soak
REV,to accelerate
REW,to rue
REX,king
REZ,reservation
RHO,Greek letter
RHY,variant of rye
RIA,long narrow inlet
RIB,bone
RID,to free from
RIF,variant of riff
RIG,to fit out
RIM,edge
RIN,to run
RIP,to tear
RIT,ritual
RIZ,to rise
ROB,to steal
ROC,mythical bird
ROD,stick
ROE,fish eggs
ROK,variant of rock
ROM,male gypsy
ROO,kangaroo
ROT,to decay
ROW,line
RUB,to apply pressure
RUC,variant of roc
RUD,redness
RUE,to regret
RUG,floor covering
RUM,alcoholic drink
RUN,to move quickly
RUT,groove
RYA,type of rug
RYE,cereal grain
RYU,school of martial arts
SAB,to sabotage
SAC,pouch
SAD,unhappy
SAE,so
SAG,to droop
SAI,weapon
SAL,salt
SAM,to collect
SAN,sanatorium
SAP,plant juice
SAR,variant of sar
SAT,past tense of sit
SAU,variant of sow
SAV,variant of save
SAW,cutting tool
SAX,saxophone
SAY,to speak
SAZ,stringed instrument
SEA,body of water
SEC,second
SED,said
SEE,to view
SEG,segment
SEI,type of whale
SEL,self
SEN,monetary unit
SER,unit of weight
SET,to place
SEV,variant of sev
SEW,to stitch
SEX,gender
SEY,variant of say
SEZ,says
SHA,shush
SHE,female pronoun
SHH,exclamation for quiet
SHO,variant of show
SHY,bashful
SIB,sibling
SIC,thus
SIF,variant of sieve
SIG,signature
SIK,variant of sick
SIM,simulation
SIN,transgression
SIP,to drink slowly
SIR,title of respect
SIS,sister
SIT,to be seated
SIX,number
SKA,type of music
SKI,snow runner
SKY,atmosphere above earth
SLY,crafty
SMA,small
SNY,side channel of river
SOB,to cry
SOC,society
SOD,turf
SOG,to soak
SOH,musical note
SOL,musical note
SOM,variant of some
SON,male offspring
SOP,to soak up
SOS,distress signal
SOT,drunkard
SOU,former French coin
SOV,sovereign
SOW,to plant seeds
SOX,socks
SOY,soybean
SOZ,sorry
SPA,health resort
SPY,secret agent
SRI,title of respect
STY,pen for pigs
SUB,submarine
SUD,foam
SUE,to take legal action
SUG,to suggest
SUI,of oneself
SUK,marketplace
SUM,total
SUN,star
SUP,to have supper
SUQ,marketplace
SUR,variant of sir
SUS,suspect
SWY,to sway
SYE,to strain
SYN,together
TAB,bill
TAD,small amount
TAE,to
TAG,label
TAI,type of exercise
TAJ,crown
TAK,to take
TAM,type of hat
TAN,to make leather
TAO,philosophy
TAP,to strike lightly
TAR,black substance
TAS,plural of ta
TAT,to make lace
TAU,Greek letter
TAV,Hebrew letter
TAW,to prepare leather
TAX,government levy
TAY,variant of tea
TEA,beverage
TEC,detective
TED,to spread hay
TEE,golf support
TEF,type of grass
TEG,young sheep
TEL,to tell
TEN,number
TES,plural of te
TET,Hebrew letter
TEW,to prepare leather
TEX,unit of weight
THE,definite article
THO,though
THY,possessive pronoun
TIC,muscular spasm
TID,proper time
TIE,to bind
TIG,children's game
TIK,type of drug
TIL,sesame
TIN,metal
TIP,end or gratuity
TIS,it is
TIT,small bird
TIX,tickets
TIZ,state of confusion
TOC,communications code
TOD,unit of weight
TOE,digit of foot
TOG,unit of thermal resistance
TOM,male animal
TON,unit of weight
TOO,also
TOP,highest point
TOR,high rock
TOT,small child
TOW,to pull
TOY,plaything
TRY,to attempt
TSK,expression of disapproval
TUB,container
TUG,to pull
TUI,type of bird
TUM,stomach
TUN,large cask
TUP,male sheep
TUT,expression of disapproval
TUX,tuxedo
TWA,two
TWO,number
TWP,stupid
TYE,nautical chain
TYG,drinking cup
UDO,Japanese herb
UDS,variant of God's
UEY,U-turn
UFO,unidentified flying object
UGH,exclamation of disgust
UGS,plural of ug
UKE,ukulele
ULE,rubber tree
ULU,type of knife
UME,Japanese plum
UMM,exclamation of thought
UMP,umpire
UMS,plural of um
UMU,type of oven
UNI,university
UNS,plural of un
UPO,variant of upon
UPS,plural of up
URB,city
URD,variant of urd
URE,aurochs
URN,vase
URP,to vomit
USE,to employ
UTA,type of lizard
UTE,Native American people
UTS,plural of ut
UTU,Maori concept
UVA,grape
UWU,cute expression
VAC,vacuum
VAE,variant of voe
VAG,vagrant
VAN,vehicle
VAR,variant
VAS,vessel
VAT,container
VAU,Hebrew letter
VAV,Hebrew letter
VAW,variant of vow
VAX,vaccine
VEE,letter V
VEG,vegetable
VET,veterinarian
VEX,to annoy
VIA,by way of
VID,video
VIE,to compete
VIG,percentage charged
VIM,energy
VIN,wine
VIS,force
VLY,variant of vlei
VOE,bay
VOG,volcanic smog
VOL,volume
VOM,to vomit
VOR,variant of vor
VOW,promise
VOX,voice
VUG,cavity in rock
VUM,variant of vow
WAB,web
WAD,lump
WAE,woe
WAG,to move back and forth
WAI,variant of why
WAN,pale
WAP,to strike
WAR,armed conflict
WAS,past tense of be
WAT,variant of what
WAW,Hebrew letter
WAX,solid substance
WAY,path
WAZ,variant of was
WEB,spider's net
WED,to marry
WEE,small
WEM,variant of wame
WEN,type of cyst
WET,not dry
WEX,variant of wax
WEY,unit of weight
WHA,variant of what
WHO,interrogative pronoun
WHY,for what reason
WIG,artificial hair
WIN,to be victorious
WIS,to know
WIT,intelligence
WIZ,wizard
WOE,grief
WOF,warrant of fitness
WOK,cooking pan
WON,past tense of win
WOO,to court
WOP,Italian person
WOS,plural of wo
WOT,variant of what
WOW,exclamation
WOX,variant of wax
WRY,twisted
WUD,variant of would
WUS,weakling
WUZ,variant of was
WYE,letter Y
WYN,variant of wine
XED,crossed out
XIS,plural of xi
YAD,pointer used in reading Torah
YAE,variant of yea
YAG,type of laser
YAH,exclamation
YAK,long-haired ox
YAM,type of vegetable
YAP,to bark
YAR,ready
YAS,plural of ya
YAW,to move unsteadily
YAY,exclamation of joy
YEA,yes
YEH,variant of yes
YEN,Japanese currency
YEP,yes
YER,your
YES,affirmative
YET,still
YEW,type of tree
YEX,to hiccup
YEZ,variant of yes
YGO,variant of go
YIN,feminine principle
YIP,to bark
YOB,hooligan
YOD,Hebrew letter
YOK,variant of yoke
YOM,day
YON,that
YOU,second person pronoun
YOW,exclamation of pain
YUG,age
YUK,expression of disgust
YUM,expression of taste
YUP,yes
YUS,plural of yu
ZAG,sharp turn
ZAP,to strike suddenly
ZAS,plural of za
ZAX,tool for cutting slate
ZEA,type of corn
ZED,letter Z
ZEE,letter Z
ZEK,Soviet prisoner
ZEL,variant of zeal
ZEN,form of Buddhism
ZEP,type of sandwich
ZEX,to dry
ZHO,hybrid yak
ZIG,sharp turn
ZIN,zinfandel wine
ZIP,to fasten
ZIT,pimple
ZIZ,variant of zizz
ZOA,plural of zoon
ZOL,marijuana joint
ZOO,place where animals are kept
ZOS,plural of zo
ZUZ,ancient coin
ZZZ,sound of sleeping
