word,definition
actual,presently existing in fact and not merely potential or possible
acuate,ending in a sharp point
acuity,sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
aculea,small spiny outgrowth on the wings of certain insects
acumen,a tapering point
adagio,(music) a composition played in adagio tempo (slowly and gracefully)
adapid,extinct small mostly diurnal lower primates that fed on leaves and fruit; abundant in North America and Europe 30 to 50 million years ago; their descendents probably include the lemurs; some authorities consider them ancestral to anthropoids but others consider them only cousins
addend,a number that is added to another number (the augend)
addict,someone who is so ardently devoted to something that it resembles an addiction
adduce,advance evidence for
adduct,a compound formed by an addition reaction
adhere,be compatible or in accordance with
adieux,a farewell remark
adjoin,lie adjacent to another or share a boundary
adjure,ask for or request earnestly
adjust,alter or regulate so as to achieve accuracy or conform to a standard
admire,feel admiration for
adnate,of unlike parts or organs; growing closely attached
adnoun,an adjective used as a noun
adonic,a verse line with a dactyl followed by a spondee or trochee; supposedly used in laments by Adonis
adonis,any handsome young man
adorer,someone who admires a young woman
adrian,Roman Emperor who was the adoptive son of Trajan; travelled throughout his empire to strengthen its frontiers and encourage learning and architecture; on a visit to Britain in 122 he ordered the construction of Hadrian's Wall (76-138)
adrift,aimlessly drifting
adroit,quick or skillful or adept in action or thought
adsorb,accumulate (liquids or gases) on the surface
advent,arrival that has been awaited (especially of something momentous)
adverb,the word class that qualifies verbs or clauses
advert,a public promotion of some product or service
advice,a proposal for an appropriate course of action
advise,give advice to
aecial,of or belonging to an aecium
aecium,fruiting body of some rust fungi bearing chains of aeciospores
aegean,an arm of the Mediterranean between Greece and Turkey; a main trade route for the ancient civilizations of Crete and Greece and Rome and Persia
aegina,an island in the Aegean Sea in the Saronic Gulf
aeolia,an ancient coastal region of northwestern Asia Minor (including Lesbos) where the Aeolians founded several cities around 1100 BC
aeolic,the dialect of Ancient Greek spoken in Thessaly and Boeotia and Aeolis
aeolis,an ancient coastal region of northwestern Asia Minor (including Lesbos) where the Aeolians founded several cities around 1100 BC
aerate,expose to fresh air
aerial,a pass to a receiver downfield from the passer
aerify,turn into gas
aerobe,an organism (especially a bacterium) that requires air or free oxygen for life
afeard,a pronunciation of afraid
affair,a vaguely specified concern
affect,the conscious subjective aspect of feeling or emotion
affine,(anthropology) kin by marriage
affirm,establish or strengthen as with new evidence or facts
afford,be able to spare or give up
affray,noisy quarrel
afghan,a blanket knitted or crocheted in strips or squares; sometimes used as a shawl
afield,far away from home or one's usual surroundings; - R.A.Hall
aflame,keenly excited (especially sexually) or indicating excitement; - Bram Stoker
aflare,streaming or flapping or spreading wide as if in a current of air
afloat,aimlessly drifting
afraid,filled with fear or apprehension
afresh,again but in a new or different way
agamic,(of reproduction) not involving the fusion of male and female gametes in reproduction
agamid,a lizard of the family Agamidae
agaric,fungus used in the preparation of punk for fuses
agency,an administrative unit of government
agenda,a temporally organized plan for matters to be attended to
aghast,"struck with fear, dread, or consternation"
aglaia,(Greek mythology) one of the three Graces
agleam,bright with a steady but subdued shining
agnail,a loose narrow strip of skin near the base of a fingernail; tearing it produces a painful sore that is easily infected
agnate,one related on the father's side
agnize,be fully aware or cognizant of
agonal,pertaining to or associated with agony (especially death agonies)
agouti,agile long-legged rabbit-sized rodent of Central America and South America and the West Indies; valued as food
agreed,be in accord; be in agreement
aguish,affected by ague
ahimsa,a Buddhist and Hindu and especially Jainist doctrine holding that all forms of life are sacred and urging the avoidance of violence
ahorse,traveling on horseback
aiglet,metal or plastic sheath over the end of a shoelace or ribbon
ailing,be ill or unwell
aiming,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards"
airily,in a flippant manner
airing,the opening of a subject to widespread discussion and debate
airman,someone who operates an aircraft
airway,a duct that provides ventilation (as in mines)
akimbo,(used of arms and legs) bent outward with the joint away from the body
alaric,king of the Visigoths who captured Rome in 410 (370-410)
alarum,an automatic signal (usually a sound) warning of danger
alaska,a state in northwestern North America; the 49th state admitted to the union
alated,(of seeds or insects) having winglike extensions
alauda,type genus of the Alaudidae: skylarks
albany,state capital of New York; located in eastern New York State on the west bank of the Hudson river
albedo,the ratio of reflected to incident light
albert,prince consort of Queen Victoria of England (1819-1861)
albino,a person with congenital albinism: white hair and milky skin; eyes are usually pink
albion,archaic name for England or Great Britain; used poetically
albite,a widely distributed feldspar that forms rocks
albuca,any of various plants of the genus Albuca having large clusters of pale yellow flowers; South Africa
albugo,type genus of the Albuginaceae; fungi causing white rusts
alcaic,verse in the meter used in Greek and Latin poetry consisting of strophes of 4 tetrametric lines; reputedly invented by Alcaeus
alcedo,type genus of the Alcedinidae
alcove,a small recess opening off a larger room
aldose,a monosaccharide sugar that contains the aldehyde group or is hemiacetal
alephs,the 1st letter of the Hebrew alphabet
aleppo,a city in northwestern Syria
alexia,inability to perceive written words
alexic,a person with alexia
alfred,king of Wessex; defeated the Vikings and encouraged writing in English (849-899)
algoid,of or resembling algae
alight,"to come to rest, settle"
alisma,small genus of aquatic or semiaquatic plants
aliyah,(Judaism) the honor of being called up to the reading desk in the synagogue to read from the Torah
alkali,any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water
alkane,a series of non-aromatic saturated hydrocarbons with the general formula CnH(2n+2)
alkene,any unsaturated aliphatic hydrocarbon
alkyne,a colorless flammable gas used chiefly in welding and in organic synthesis
allege,report or maintain
allele,(genetics) either of a pair (or series) of alternative forms of a gene that can occupy the same locus on a particular chromosome and that control the same character
allice,European shad
allied,"become an ally or associate, as by a treaty or marriage"
allies,the alliance of nations that fought the Axis in World War II and which (with subsequent additions) signed the charter of the United Nations in 1945
allium,large genus of perennial and biennial pungent bulbous plants: garlic; leek; onion; chive; sometimes placed in family Alliaceae as the type genus
allude,make a more or less disguised reference to
allure,the power to entice or attract through personal charm
almond,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California
almost,(of actions or states) slightly short of or not quite accomplished; all but
alnico,trade name for an alloy used to make high-energy permanent magnets; contains aluminum and iron and nickel plus cobalt or copper or titanium
alonso,Cuban dancer and choreographer (born in 1921)
alpaca,wool of the alpaca
alpine,relating to or characteristic of alps
altaic,any member of the peoples speaking a language in the Altaic language group
altair,double star 15.7 light years from Earth; the brightest star in the Aquila constellation
althea,any of various plants of the genus Althaea; similar to but having smaller flowers than genus Alcea
alular,pertaining to alulae
alumna,a person who has received a degree from a school (high school or college or university)
alumni,a person who has received a degree from a school (high school or college or university)
alvine,of or relating to the intestines
always,at all times; all the time and on every occasion
alytes,midwife toads
amazed,affect with wonder
amazon,a large strong and aggressive woman
ambage,a style that involves indirect ways of expressing things
ambler,someone who walks at a leisurely pace
ambush,the act of concealing yourself and lying in wait to attack by surprise
amelia,congenital absence of an arm or leg
amends,a sum of money paid in compensation for loss or injury
amenia,absence or suppression of normal menstrual flow
amerce,punish with an arbitrary penalty
aminic,pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia
ammine,a complex inorganic compound that contains ammonia molecules
amnion,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
amoeba,naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion
amount,a quantity of money
ampere,a former unit of electric current (slightly smaller than the SI ampere)
amulet,a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
amused,"occupy in an agreeable, entertaining or pleasant fashion"
amylum,"a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice; an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles"
amytal,the sodium salt of amobarbital that is used as a barbiturate; used as a sedative and a hypnotic
anabas,the type genus of the family Anabantidae; small fish that resemble perch
ananas,a genus of tropical American plants have sword-shaped leaves and a fleshy compound fruits composed of the fruits of several flowers (such as pineapples)
anchor,a mechanical device that prevents a vessel from moving
andean,relating to the Andes and their inhabitants
andira,small genus of evergreen trees of tropical America and western Africa
andrew,(New Testament) disciple of Jesus; brother of Peter; patron saint of Scotland
anemia,a deficiency of red blood cells
anemic,lacking vigor or energy
anergy,reduction or lack of an immune response to a specific antigen
angara,a river in southeastern Siberia that flows northwest from Lake Baikal to become a tributary of the Yenisei River
angers,a strong emotion; a feeling that is oriented toward some real or supposed grievance
angina,any disease of the throat or fauces marked by spasmodic attacks of intense suffocative pain
angled,move or proceed at an angle
angler,a scheming person; someone who schemes to gain an advantage
angles,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
angola,a republic in southwestern Africa on the Atlantic Ocean; achieved independence from Portugal in 1975 and was the scene of civil war until 1990
angora,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats
anguis,type genus of the Anguidae: blindworms
anhima,type genus of the Anhimidae; horned screamers
animal,a living organism characterized by voluntary movement
animus,a feeling of ill will arousing active hostility
anklet,a shoe for a child or woman that has a strap around the ankle
annals,reports of the work of a society or learned body etc
anneal,"bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling"
annexa,accessory or adjoining anatomical parts or appendages to an organ (especially of the embryo)
annona,type genus of the Annonaceae; tropical American trees or shrubs
annual,(botany) a plant that completes its entire life cycle within the space of a year
anodal,of or at or relating to an anode
anodic,of or at or relating to an anode
anoint,choose by or as if by divine intervention
anolis,New World chameleons
anomia,inability to name objects or to recognize written or spoken names of objects
anonym,a fictitious name used when the person performs a particular social role
anopia,sightlessness (especially because of a structural defect in or the absence of an eye)
anorak,a kind of heavy jacket (`windcheater' is a British term)
anoxia,severe hypoxia; absence of oxygen in inspired gases or in arterial blood or in the tissues
anoxic,relating to or marked by a severe deficiency of oxygen in tissues or organs
anselm,an Italian who was a Benedictine monk; was archbishop of Canterbury from 1093 to 1109; one of the founders of scholasticism; best known for his proof of the existence of God
answer,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
anthem,a song of devotion or loyalty (as to a nation or school)
anther,the part of the stamen that contains pollen; usually borne on a stalk
anthus,pipits
antler,deciduous horn of a member of the deer family
antlia,a faint constellation in the southern hemisphere near Hydra and Vela
antony,Roman general under Julius Caesar in the Gallic wars; repudiated his wife for the Egyptian queen Cleopatra; they were defeated by Octavian at Actium (83-30 BC)
antrum,a natural cavity or hollow in a bone
anubis,Egyptian god of tombs and ruler of the underworld; usually depicted as a man with the head of a jackal
anuran,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
anuria,inability to urinate
anuric,of or relating to an inability to urinate
anyhow,used to indicate that a statement explains or supports a previous statement
anyway,used to indicate that a statement explains or supports a previous statement
aorist,a verb tense in some languages (classical Greek and Sanskrit) expressing action (especially past action) without indicating its completion or continuation
aortal,of or relating to the aorta
aortic,of or relating to the aorta
aoudad,wild sheep of northern Africa
apache,any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico); fought a losing battle from 1861 to 1886 with the United States and were resettled in Oklahoma
apathy,an absence of emotion or enthusiasm
aperea,South American cavy; possibly ancestral to the domestic guinea pig
apiary,a shed containing a number of beehives
apical,situated at an apex
apices,the highest point (of something)
apidae,honeybees; carpenter bees; bumblebees
apiece,to or from every one of two or more (considered individually)
aplite,light-colored and fine-grained granitic rock consisting chiefly of quartz and feldspars
aplomb,great coolness and composure under strain
apneic,of or relating to apnea
apodal,(of snakes and eels) naturally footless
apogee,a final climactic stage
apogon,type genus of the Apogonidae
apollo,(Greek mythology) Greek god of light; god of prophecy and poetry and music and healing; son of Zeus and Leto; twin brother of Artemis
appall,strike with disgust or revulsion
appeal,earnest or urgent request
appear,give a certain impression or have a certain outward aspect
append,add to the very end
appose,place side by side or in close proximity
aquila,a constellation in the Milky Way near Cygnus; contains the star Altair
arabic,the Semitic language of the Arabs; spoken in a variety of dialects
arabis,"annual to perennial woody herbs of temperate North America, Europe and Asia: rockcress"
arable,(of farmland) capable of being farmed productively
arales,Araceae; Lemnaceae
aralia,any of various plants of the genus Aralia; often aromatic plants having compound leaves and small umbellate flowers
aramus,genus of large brown long-billed wading birds found in warm swampy regions of the western hemisphere: courlan; limpkin
aranea,a genus of orb-weaving spiders including common garden spiders and barn spiders
arawak,a member of a widespread group of Amerindians living in northeastern South America
arcade,a covered passageway with shops and stalls on either side
arcana,information known only to a special group
arcane,requiring secret or mysterious knowledge
arched,form an arch or curve
archer,a person who is expert in the use of a bow and arrow
arches,a curved shape in the vertical plane that spans an opening
archil,a purplish dye obtained from orchil lichens
archly,in_an_arch_manner; with playful slyness or roguishness
arcing,form an arch or curve
arcked,form an arch or curve
arctic,the regions to the north of the Arctic Circle centered on the North Pole
ardent,characterized by intense emotion
arenga,a genus of tropical Asian and Malaysian palm trees
areola,small space in a tissue or body part such as the area between veins on a leaf or an insect's wing
argali,wild sheep of semidesert regions in central Asia
argent,a metal tincture used in heraldry to give a silvery appearance
argive,a native or inhabitant of the city of Argos
argosy,one or more large merchant ships
arguer,someone who engages in debate
argufy,have a disagreement over something
argyle,a covered gravy holder of silver or other metal containing a detachable central vessel for hot water to keep the gravy warm
argyll,a covered gravy holder of silver or other metal containing a detachable central vessel for hot water to keep the gravy warm
ariana,city in Tunisia
aright,in an accurate manner
ariled,(of some seeds) having a fleshy and usually brightly colored cover
ariose,having a melody (as distinguished from recitative)
arioso,(music) a short recitative that is melodic but is not an aria
arisen,come into existence; take on form or shape
arista,bristlelike process near the tip of the antenna of certain flies
armada,a large fleet
armful,the quantity that can be contained in the arms
arming,the act of equiping with weapons in preparation for war
armlet,a band worn around the arm for decoration
armory,a collection of resources
armpit,the hollow under the arm where it is joined to the shoulder
arnica,used especially in treating bruises
arnold,English poet and literary critic (1822-1888)
around,in the area or vicinity
arouse,"call forth (emotions, feelings, and responses)"
arpent,a former French unit of area; equal approximately to an acre
arrack,any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses
arrant,without qualification; used informally as (often pejorative) intensifiers
arrest,the act of apprehending (especially apprehending a criminal)
arrive,reach a destination; arrive by movement or progress
arroba,a unit of weight used in some Spanish speaking countries
arroyo,a stream or brook
arsine,a poisonous colorless flammable gas used in organic synthesis and to dope transistors and as a poison gas in warfare
artery,a blood vessel that carries blood from the heart to the body
artful,not straightforward or candid; giving a false appearance of frankness; - David Cannadine
arthur,elected vice president and became 21st President of the United States when Garfield was assassinated (1830-1886)
artist,a person whose creative work shows sensitivity and imagination
arundo,any of several coarse tall perennial grasses of most warm areas: reeds
asarum,wild ginger
ascend,"travel up,"
ascent,an upward slope or grade (as in a road)
ascoma,an ascocarp having the spore-bearing layer of cells (the hymenium) on a broad disklike receptacle
ashlar,a rectangular block of hewn stone used for building purposes
ashore,towards the shore from the water
askant,(used especially of glances) directed to one side with or as if with doubt or suspicion or envy; - Elizabeth Bowen
aslant,having an oblique or slanted direction
asleep,in a state of sleep
aslope,having an oblique or slanted direction
aspect,a distinct feature or element in a problem
aspire,have an ambitious plan or a lofty goal
assail,attack someone physically or emotionally
assent,agreement with a statement or proposal to do something
assert,state categorically
assess,"evaluate or estimate the nature, quality, ability, extent, or significance of"
assets,anything of material value or usefulness that is owned by a person or company
assign,"give an assignment to (a person) to a post, or assign a task to (a person)"
assist,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
assize,the regulation of weights and measures of articles offered for sale
assoil,pronounce not guilty of criminal charges
assort,keep company with; hang out with
assume,take to be the case or to be true; accept without verification or proof
assure,make certain of
astern,stern foremost or backward
asthma,respiratory disorder characterized by wheezing; usually of allergic origin
astral,being or relating to or resembling or emanating from stars
astray,away from the right path or direction
astute,marked by practical hardheaded intelligence
asylum,a shelter from danger or hardship
ataxia,inability to coordinate voluntary muscle movements; unsteady movements and staggering gait
ataxic,lacking motor coordination; marked or caused by ataxia
ateles,spider monkeys
athena,(Greek mythology) goddess of wisdom and useful arts and prudent warfare; guardian of Athens; identified with Roman Minerva
athens,the capital and largest city of Greece; named after Athena (its patron goddess)
atomic,of or relating to or comprising atoms
atonal,characterized by avoidance of traditional western tonality
atonia,lack of normal muscular tension or tonus
atonic,characterized by a lack of tonus
atoxic,not producing or resulting from poison
atrial,of or relating to a cavity or chamber in the body (especially one of the upper chambers of the heart)
atrium,any chamber that is connected to other chambers or passageways (especially one of the two upper chambers of the heart)
atropa,belladonna
attach,cause to be attached
attack,(military) an offensive against an enemy (using weapons)
attain,to gain with effort
attend,"be present at (meetings, church services, university), etc."
attest,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"
attire,clothing of a distinctive style or for a particular occasion
attorn,acknowledge a new land owner as one's landlord
attune,adjust or accustom to; bring into harmony with
auburn,(of hair) colored a moderate reddish-brown
aucuba,hardy evergreen dioecious shrubs and small trees from Japan
audile,one whose mental imagery is auditory rather than visual or motor
augean,extremely filthy from long neglect
augend,a number to which another number (the addend) is added
augite,dark-green to black glassy mineral of the pyroxene group containing large amounts of aluminum and iron and magnesium
augury,an event that is experienced as indicating important things to come
august,the month following July and preceding September
auklet,any of several small auks of the northern Pacific coasts
auntie,the sister of your father or mother; the wife of your uncle
aurify,transform into gold
auriga,a conspicuous constellation in the northern hemisphere; between Great Bear and Orion at edge of Milky Way
aurora,the first light of day
aurous,of or relating to or containing or derived from gold
auspex,(ancient Rome) a religious official who interpreted omens to guide public policy
aussie,a native or inhabitant of Australia
austin,state capital of Texas on the Colorado River; site of the University of Texas
author,writes (books or stories or articles or the like) professionally (for pay)
autism,(psychiatry) an abnormal absorption with the self; marked by communication disorders and short attention span and inability to treat others as people
autumn,the season when the leaves fall from the trees
avenge,take revenge for a perceived wrong
avenue,a line of approach
averse,(usually followed by `to') strongly opposed
avesta,a collection of Zoroastrian texts gathered during the 4th or 6th centuries
aviary,a building where birds are kept
aviate,operate an airplane
avidly,in an avid manner
avocet,long-legged web-footed black-and-white shorebird with slender upward-curving bill
avouch,admit openly and bluntly; make no bones about
avowal,a statement asserting the existence or the truth of something
avowed,to declare or affirm solemnly and formally as true
avower,someone who admits or acknowledges openly and boldly
avulse,separate by avulsion
awaken,cause to become awake or conscious
aweary,physically and mentally fatigued
aweigh,(used of an anchor) hanging clear of the bottom
awheel,traveling by wheeled vehicle such as bicycle or automobile e.g.
awhile,for a short time
awless,devoid of any feeling of awe or reverence
awning,a canopy made of canvas to shelter people or things from rain or sun
axenic,(of experimental animals) raised under sterile conditions
axilla,the hollow under the arm where it is joined to the shoulder
axonal,of or relating to or resembling an axon
axseed,European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods
aythya,canvasback; redhead; pochard; etc.
azalea,any of numerous ornamental shrubs grown for their showy flowers of various colors
azolla,a genus of fern sometimes placed in its own family Azollaceae
azonal,not divided into zones
azonic,not restricted to any particular zone or region
azotic,of or containing nitrogen
azured,color azure
azygos,occurring singly; not one of a pair
babble,gibberish resembling the sounds of a baby
babied,treat with excessive indulgence
baboon,large terrestrial monkeys having doglike muzzles
backed,be behind; approve of
backer,invests in a theatrical production
backup,an accumulation caused by clogging or a stoppage
badaga,a member of an agricultural people of southern India
badger,a native or resident of Wisconsin
baffle,a flat plate that controls or directs the flow of fluid or energy
bagdad,capital and largest city of Iraq; located on the Tigris River
bagful,the quantity that a bag will hold
bagged,"capture or kill, as in hunting"
bagger,a workman employed to pack things into containers
bagman,a salesman who travels to call on customers
bagnio,a building where prostitutes are available
bailee,the agent to whom property involved in a bailment is delivered
bailey,United States singer (1918-1990)
bailor,the person who delivers personal property (goods or money) in trust to the bailee in a bailment
bakery,a workplace where baked goods (breads and cakes and pastries) are produced or sold
baking,making bread or cake or pastry etc.
balata,when dried yields a hard substance used e.g. in golf balls
balboa,the basic unit of money in Panama; equal to 100 centesimos
balder,(Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
baldly,in a bald manner
baleen,a horny material from the upper jaws of certain whales; used as the ribs of fans or as stays in corsets
balkan,an inhabitant of the Balkan Peninsula
balker,a person who refuses to comply
ballad,a narrative song with a recurrent refrain
balled,form into a ball by winding or rolling
ballet,a theatrical representation of a story that is performed to music by trained dancers
ballot,a document listing the alternatives that is used in voting
ballup,something badly botched or muddled
balsam,any seed plant yielding balsam
baltic,a sea in northern Europe; stronghold of the Russian navy
bamboo,the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
banded,"bind or tie together, as with a band"
bandit,an armed thief who is (usually) a member of a band
banger,(British informal) pork sausage
bangle,jewelry worn around the wrist for decoration
banian,East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
banish,expel from a community or group
banked,tip laterally
banker,a financier who owns or is an executive in a bank
banner,long strip of cloth or paper used for decoration or advertising
bantam,any of various small breeds of fowl
banter,light teasing repartee
banyan,East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
banzai,a Japanese cheer of enthusiasm or triumph
baobab,African tree having an exceedingly thick trunk and fruit that resembles a gourd and has an edible pulp called monkey bread
baphia,small genus of shrubs and lianas and trees of Africa and Madagascar
barbed,provide with barbs
barbel,slender tactile process on the jaws of a fish
barber,United States composer (1910-1981)
barbet,small brightly colored stout-billed tropical bird having short weak wings
bardic,being a bard or relating to a bard's poetry
barely,only a very short time before; ; ; ; ; - W.B.Yeats
bargee,someone who operates a barge
baring,the removal of covering
barish,Kamarupan languages spoken in the state of Assam in northeastern India
barite,a white or colorless mineral (BaSO4); the main source of barium
barium,a soft silvery metallic element of the alkali earth group; found in barite
barker,someone who stands in front of a show (as at a carnival) and gives a loud colorful sales talk to potential customers
barley,a grain of barley
barman,an employee who mixes and serves alcoholic drinks at a bar
barong,a knife resembling a cleaver; used in the Philippines
barony,the estate of a baron
barred,prevent from entering; keep out
barrel,a tube through which a bullet travels when a gun is fired
barren,an uninhabited wilderness that is worthless for cultivation
barrio,a Spanish-speaking quarter in a town or city (especially in the United States)
barrow,the quantity that a barrow will hold
barter,an equal exchange
baruch,economic advisor to United States Presidents (1870-1965)
baryta,any of several compounds of barium
basalt,the commonest type of solidified lava; a dense dark grey fine-grained igneous rock that is composed chiefly of plagioclase feldspar and pyroxene
basely,"in a despicable, ignoble manner"
basify,turn basic and less acidic
basket,a container that is usually woven and has handles
basque,a member of a people of unknown origin living in the western Pyrenees in France and Spain
basset,smooth-haired breed of hound with short legs and long ears
bassia,summer cypress
baster,a cook who bastes roasting meat with melted fat or gravy
basuto,the dialect of Sotho spoken by the Basotho; an official language of Lesotho
bataan,the peninsula and island in the Philippines where Japanese forces besieged American forces in World War II; United States forces surrendered in 1942 and recaptured the area in 1945
bather,a person who travels through the water by swimming
bathos,triteness or triviality of style
bating,moderate or restrain; lessen the force of
batman,an orderly assigned to serve a British military officer
batten,stuffing made of rolls or sheets of cotton wool or synthetic fiber
batter,(baseball) a ballplayer who is batting
battle,a hostile meeting of opposing military forces in the course of a war
battue,a hunt in which beaters force the game to flee in the direction of the hunter
bauble,a mock scepter carried by a court jester
bawbee,an old Scottish coin of little value
bawdry,lewd or obscene talk or writing
bawler,someone who communicates vocally in a very loud voice
bayard,French soldier said to be fearless and chivalrous (1473-1524)
bazaar,a shop where a variety of goods are sold
beacon,a fire (usually on a hill or tower) that can be seen from a distance
beaded,"form into beads, as of water or sweat, for example"
beadle,a minor parish official who serves a ceremonial function
beagle,a small short-legged smooth-coated breed of hound
beaked,hit lightly with a picking motion
beaker,a flatbottomed jar made of glass or plastic; used for chemistry
beamed,smile radiantly; express joy through one's facial expression
beanie,a small skullcap; formerly worn by schoolboys and college freshmen
bearer,someone whose employment involves carrying something
beaten,"come out better in a competition, race, or conflict"
beater,a worker who rouses wild game from under cover for a hunter
beauty,the qualities that give pleasure to the senses
beaver,the soft brown fur of the beaver
becalm,make steady
becket,(Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)
beckon,signal with the hands or nod
become,enter or assume a certain state or condition
bedamn,wish harm upon; invoke evil upon
bedaub,spread or daub (a surface)
bedaze,overcome as with astonishment or disbelief
bedbug,bug of temperate regions that infests especially beds and feeds on human blood
bedded,furnish with a bed
bedder,an ornamental plant suitable for planting in a flowerbed
bedeck,decorate
bedlam,a state of extreme confusion and disorder
bedpan,a shallow vessel used by a bedridden patient for defecation and urination
bedrid,confined to bed (by illness)
beetle,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
befall,become of; happen to
befool,make a fool or dupe of
before,earlier in time; previously
befoul,"spot, stain, or pollute"
beggar,a pauper who lives by begging
begild,"decorate with, or as if with, gold leaf or liquid gold"
behalf,as the agent of or on someone's part (usually expressed as  rather than )
behave,behave in a certain manner; show a certain behavior; conduct or comport oneself
behead,cut the head of
beheld,see with attention
behest,an authoritative command or request
